id,supplier_number,name,status,primary_contact_email,country,x_tier,x_sole_source,created_at,updated_at
3016,SUP10016,Nimbus Tech Sdn Bhd,active,orders@meridian.com,SG,tier-1,false,2025-12-14T00:00:00+08:00,2026-05-15T00:00:00+08:00
3017,SUP10017,Northgate Instruments GmbH,active,orders@delta.com,MY,tier-1,false,2025-08-10T00:00:00+08:00,2026-04-04T00:00:00+08:00
3018,SUP10018,Mekong Fasteners Pvt Ltd,active,orders@nimbus.com,SG,tier-1,false,2024-09-09T00:00:00+08:00,2026-07-13T00:00:00+08:00
3019,SUP10019,Pacific Rim Textiles Co. ,active,orders@zenith.com,SG,tier-1,false,2024-06-26T00:00:00+08:00,2026-04-11T00:00:00+08:00
3020,SUP10020,Brightwave Solutions Co.,active,orders@summit.com,IN,tier-2,true,2023-07-09T00:00:00+08:00,2026-06-09T00:00:00+08:00
3021,SUP10021,Penang Circuit Supply Pte Ltd,active,orders@cendana.com,CN,tier-1,false,2025-10-07T00:00:00+08:00,2026-04-03T00:00:00+08:00
3022,SUP10022,Bharat Industrial Supplies LLC,inactive,orders@apex.com,SG,tier-3,false,2025-02-24T00:00:00+08:00,2026-06-01T00:00:00+08:00
3023,SUP10023,Meridian Components Pvt Ltd ,active,orders@cendana.com,IN,tier-3,false,2023-09-27T00:00:00+08:00,2026-05-02T00:00:00+08:00
3024,SUP10024,Klang Valley Packaging Pte Ltd,active,orders@summit.com,SG,tier-1,false,2025-06-04T00:00:00+08:00,2026-06-10T00:00:00+08:00
3025,SUP10025,Apex Digital Bhd,inactive,orders@klang.com,SG,tier-1,false,2022-07-17T00:00:00+08:00,2026-07-10T00:00:00+08:00
3026,SUP10026,Pacific Rim Textiles Pte Ltd ,active,orders@zenith.com,IN,tier-1,false,2023-07-06T00:00:00+08:00,2026-07-02T00:00:00+08:00
3027,SUP10027,Sabah Timber Components Sdn Bhd,active,orders@kirana.com,SG,tier-1,false,2023-01-05T00:00:00+08:00,2026-07-04T00:00:00+08:00
3028,SUP10028,Everbright Plastics Pvt Ltd ,active,orders@harbor.com,SG,tier-3,false,2023-12-07T00:00:00+08:00,2026-04-05T00:00:00+08:00
3029,SUP10029,Northgate Instruments LLC ,active,orders@bharat.com,IN,tier-2,false,2024-02-18T00:00:00+08:00,2026-06-17T00:00:00+08:00
3030,SUP10030,Delta Rubber Industries Co.,active,orders@northern.com,CN,tier-1,false,2024-04-17T00:00:00+08:00,2026-03-17T00:00:00+08:00
3031,SUP10031,Sunrise Logistics Bhd,active,orders@nexus.com,MY,tier-1,false,2024-02-10T00:00:00+08:00,2026-06-30T00:00:00+08:00
3032,SUP10032,Delta Rubber Industries GmbH,active,orders@pacific.com,MY,tier-3,false,2022-12-18T00:00:00+08:00,2026-04-10T00:00:00+08:00
3033,SUP10033,Pacific Rim Textiles Sdn Bhd,active,orders@straits.com,CN,tier-2,false,2023-10-15T00:00:00+08:00,2026-03-21T00:00:00+08:00
3034,SUP10034,Nexus Logistics Pvt Ltd ,active,orders@johor.com,IN,tier-2,false,2023-04-15T00:00:00+08:00,2026-07-03T00:00:00+08:00
3035,SUP10035,Bharat Industrial Supplies LLC,active,orders@cendana.com,IN,tier-1,false,2023-10-29T00:00:00+08:00,2026-05-29T00:00:00+08:00
3036,SUP10036,Everbright Plastics Pvt Ltd,active,orders@mekong.com,IN,tier-2,false,2023-11-17T00:00:00+08:00,2026-06-14T00:00:00+08:00
3037,SUP10037,COASTAL CHEMICAL TRADERS GMBH,active,orders@coastal.com,SG,tier-1,false,2022-11-25T00:00:00+08:00,2026-07-06T00:00:00+08:00
3038,SUP10038,Kirana Traders Sdn Bhd,active,orders@coastal.com,MY,tier-2,false,2023-07-23T00:00:00+08:00,2026-07-10T00:00:00+08:00
3039,SUP10039,Summit Steelworks GmbH,active,orders@selangor.com,TH,tier-1,false,2022-06-24T00:00:00+08:00,2026-07-03T00:00:00+08:00
3040,SUP10040,Nexus Logistics Sdn Bhd Pte Ltd,active,orders@brightwave.com,MY,tier-1,false,2024-01-08T00:00:00+08:00,2026-05-28T00:00:00+08:00
3041,SUP10041,Sunrise Logistics GmbH,active,orders@delta.com,IN,tier-1,false,2025-08-26T00:00:00+08:00,2026-07-07T00:00:00+08:00
3042,SUP10042,Sabah Timber Components Bhd,active,orders@bharat.com,MY,tier-2,false,2024-06-24T00:00:00+08:00,2026-06-07T00:00:00+08:00
3043,SUP10043,Highland Chemicals Pvt Ltd,active,orders@lumina.com,SG,tier-2,false,2023-07-04T00:00:00+08:00,2026-07-07T00:00:00+08:00
3044,SUP10044,Nimbus  Tech  Sdn  Bhd,active,orders@straits.com,MY,tier-2,false,2025-09-03T00:00:00+08:00,2026-04-09T00:00:00+08:00
3045,SUP10045,Nexus Logistics Pte Ltd Co.,active,orders@andaman.com,SG,tier-1,false,2025-05-10T00:00:00+08:00,2026-07-08T00:00:00+08:00
3046,SUP10046,Northern Wire & Cable Pte Ltd,active,orders@meridian.com,SG,tier-1,false,2022-07-20T00:00:00+08:00,2026-05-04T00:00:00+08:00
3047,SUP10047,Summit Steelworks Sdn Bhd ,active,orders@apex.com,SG,tier-2,false,2024-01-10T00:00:00+08:00,2026-04-09T00:00:00+08:00
3048,SUP10048,Cendana Print Media GmbH,active,orders@apex.com,MY,tier-1,false,2025-09-26T00:00:00+08:00,2026-06-21T00:00:00+08:00
3049,SUP10049,Bharat Industrial Supplies Sdn Bhd,active,orders@nexus.com,TH,tier-2,false,2025-09-01T00:00:00+08:00,2026-05-13T00:00:00+08:00
